name,slug,denominations,denomination_type,rate
Grand Concourse,grand-concourse,"[25,500]",VARIABLE,10.5
WorldHotels Elite,worldhotels-elite,"[25,1000]",VARIABLE,7.5
Tops Markets,tops-markets,"[10,500]",VARIABLE,4
Chili's,chilis,"[10,100]",VARIABLE,7.5
Chipotle,chipotle,"[10,250]",VARIABLE,3
Soothe,soothe,"[50,1000]",VARIABLE,12.5
Chico's,chicos,"[15,500]",VARIABLE,7.5
RedCoin Voucher $1000 B2B,redcoin-voucher-b2b,[1050],FIXED,1
IndieFlix,indieflix,"[9.98,14.97,29.94,49.99]",FIXED,20
Tractor Supply Company,tractor-supply-company,"[10,250]",VARIABLE,4
Krispy Kreme Doughnut,krispy-kreme-doughnut,"[10,200]",VARIABLE,9.5
Logan's Roadhouse,logans-roadhouse,"[10,250]",VARIABLE,6
Shake Shack,shake-shack,"[10,500]",VARIABLENOCENTS,6
ThirdLove,thirdlove,"[25,500]",VARIABLE,8
The Popcorn Factory,the-popcorn-factory,"[15,500]",VARIABLE,10.5
SureStay,surestay,"[25,1000]",VARIABLE,7.5
Your Gift Choice,your-gift-choice,[25],FIXED,3
Your Gift Choice,your-gift-choice,"[50,100,200]",FIXED,2.5
Smashburger,smashburger,"[15,100]",VARIABLE,9.5
Four Points by Sheraton,four-points-by-sheraton,"[100,250,350,500,850]",FIXED,9
Four Points by Sheraton,four-points-by-sheraton,"[25,2000]",VARIABLE,4.5
KingsIsle Pirate101,kingsisle-pirate101,[10],FIXED,12
KingsIsle Pirate101,kingsisle-pirate101,[20],FIXED,8
AC Hotels,ac-hotels-by-marriott,"[100,250,350,500,850]",FIXED,9
AC Hotels,ac-hotels-by-marriott,"[25,2000]",VARIABLE,4.5
Office Depot & OfficeMax,office-depot-office-max,"[10,500]",VARIABLE,8
SweetFrog,sweetfrog,"[10,25]",FIXED,11.5
SweetFrog,sweetfrog,"[10,100]",VARIABLE,8
Equal Justice Initiative - Charity on Top,equal-justice-initiative,"[10,500]",VARIABLE,7.5
Texas Roadhouse,texas-roadhouse,"[10,100]",VARIABLE,6
Great American Days,great-american-days,"[25,50]",FIXED,5
Kids Foot Locker,kids-foot-locker,"[10,250]",VARIABLE,5.5
The Land of Nod,the-land-of-nod,"[10,1000]",VARIABLE,6
Panera Bread,panera-bread,"[10,25,50,100]",FIXED,5
Panera Bread,panera-bread,"[10,200]",VARIABLE,4.5
Gander Outdoors,gander-outdoors,"[10,500]",VARIABLE,5
Lane Bryant,lane-bryant,"[15,200]",VARIABLE,8.5
Tom Thumb,tom-thumb,"[10,250]",VARIABLE,3
Brick House Tavern & Tap,brick-house-tavern-tap,"[25,500]",VARIABLE,10.5
Horatio's,horatios,"[25,500]",VARIABLE,10.5
Fairfield Inn & Suites,fairfield-inn-suites,"[100,250,350,500,850]",FIXED,9
Fairfield Inn & Suites,fairfield-inn-suites,"[25,2000]",VARIABLE,4.5
Beans & Brews,beans-brews,"[10,250]",VARIABLE,10.5
Happy Card/One4all - Self Care,Happy-Card-One4all-Self-Care,"[25,500]",VARIABLE,4
Cabela's,cabelas,"[10,500]",VARIABLE,7.5
Disney World Epcot,disney-world-epcot,"[50,100]",FIXED,5
Disney World Epcot,disney-world-epcot,"[15,500]",VARIABLE,4
Gaylord Hotels,gaylord-hotels,"[100,250,350,500,850]",FIXED,9
Gaylord Hotels,gaylord-hotels,"[25,2000]",VARIABLE,4.5
Metro Market,metro-market,"[10,500]",VARIABLE,2.75
Saks Fifth Avenue OFF 5TH,saks-fifth-avenue-off-5th,"[10,500]",VARIABLE,7
Cadillac Ranch,cadillac-ranch,"[25,500]",VARIABLE,10.5
TY Inc,ty-inc,[125],FIXED,15
Nexon Karma Koin,nexon-karma-koin,"[10,500]",VARIABLE,5
GLAAD - Charity on Top,glaad,"[10,500]",VARIABLE,7.5
Abercrombie & Fitch,abercrombie-fitch,"[25,500]",VARIABLE,6.5
Pep Boys,pep-boys,"[25,50]",FIXED,7
Xsolla,xsolla,"[10,200]",VARIABLE,5.5
Schlotzsky's,schlotzskys,"[10,200]",VARIABLE,8.5
Direct Relief,direct-relief,"[10,500]",VARIABLE,6
Kansas City Steak Company,kansas-city-steak-company,"[25,50]",FIXED,4.5
O'Charley's,ocharleys,"[15,500]",VARIABLE,11
Instacart+,instacart-plus,"[59,99]",FIXED,3
Meijer,meijer,"[10,500]",VARIABLE,2.5
Del Frisco's Double Eagle Steakhouse,del-friscos-double-eagle-steakhouse,"[25,500]",VARIABLE,10.5
1-800-Baskets,1-800-baskets,"[15,500]",VARIABLE,10.5
Fleming's Prime Steakhouse & Wine Bar,flemings-prime-steakhouse-wine-bar,"[20,200]",VARIABLE,9.5
Bristol Seafood Grill,bristol-seafood-grill,"[25,500]",VARIABLE,10.5
Jakes Grill,jakes-grill,"[25,500]",VARIABLE,10.5
Xbox Live Gold Membership,xbox-live-gold-membership,"[24.99,59.99]",FIXED,10
Guild Wars 2 Gem Card,guild-wars-2-gem-card,[25],FIXED,5
VALORANT,valorant,"[10,25,50,100]",FIXED,5
StubHub,stubhub,"[25,500]",VARIABLE,6
Romano's Macaroni Grill,romanos-macaroni-grill,"[25,250]",VARIABLE,10.5
Ruby Tuesday,ruby-tuesday,"[10,250]",VARIABLE,9
Postmates,postmates,[50],FIXED,8
Postmates,postmates,"[15,150]",VARIABLE,3.5
Collars & Co,collars-co,"[25,500]",VARIABLE,7
NAACP,naacp,"[10,500]",VARIABLE,6
Clean Origin,clean-origin,"[25,2000]",VARIABLE,10
Cheddar's Scratch Kitchen,cheddars-scratch-kitchen,"[10,250]",VARIABLE,6
Buca Di Beppo,buca-di-beppo,"[15,500]",VARIABLE,12.5
Renaissance Hotels,renaissance-hotels,"[100,250,350,500,850]",FIXED,9
Renaissance Hotels,renaissance-hotels,"[25,2000]",VARIABLE,4.5
